ID,LocalDate,LocalTime,GMTDate,GMTTime,lat,long,Temperature,Speed,Direction,Altitude,Cov,HDOP,Distance,Count
1SAT32,26/10/2011,7:40:35 AM,25/10/2011,11:40:35 PM,1.237206,566.222302,24.5,0.24,0,16.7c,0,1.64,0,1
2SAT32,26/10/2011,3:41:35 PM,26/10/2011,7:41:35 AM,1.233202,566.208266,29,0.76,0,65.4c,0,1.74,548,2
3SAT32,26/10/2011,11:40:35 PM,26/10/2011,3:40:35 PM,1.233732,566.208599,27,0.86,0,d72.3,0,2.18,61,3
4SAT32,27/10/2011,11:40:34 PM,27/10/2011,3:40:34 PM,1.255738,566.28364,28,0.16,0,43.3c,0,1.89,8669,4
5SAT32,28/10/2011,7:42:53 AM,27/10/2011,11:42:53 PM,1.256503,566.287684,27.5,1.46,0,25.0c,1,2.5,456,5
6SAT32,28/10/2011,3:41:05 PM,28/10/2011,7:41:05 AM,1.283322,566.636542,33.5,0.06,0,40.8c,5,1.45,5800,6
7SAT32,28/10/2011,3:41:05 PM,28/10/2011,7:41:05 AM,1.283322,566.636542,33.5,0.06,0,40.8c,5,1.45,0,7
8SAT32,28/10/2011,3:41:05 PM,28/10/2011,7:41:05 AM,1.283322,566.636542,33.5,0.06,0,40.8c,5,1.45,0,8
9SAT32,28/10/2011,7:40:34 PM,28/10/2011,11:40:34 AM,1.279701,566.643606,29,0.14,0,13.8c,4,0.95,1291,9
10SAT32,28/10/2011,7:40:34 PM,28/10/2011,11:40:34 AM,1.279701,566.643606,29,0.14,0,13.8c,5,0.95,0,10
11SAT32,28/10/2011,11:42:05 PM,28/10/2011,3:42:05 PM,1.283136,566.638404,29,0.02,0,13.9c,0,1.68,692,11
12SAT32,29/10/2011,3:41:53 AM,28/10/2011,7:41:53 PM,1.285262,566.638249,28,0.04,0,18.7c,1,1.63,238,12
13SAT32,29/10/2011,7:41:23 AM,28/10/2011,11:41:23 PM,1.285783,566.638965,28,0.42,0,d12.0,0,2.67,107,13
14SAT32,29/10/2011,7:41:53 PM,29/10/2011,11:41:53 AM,1.272221,566.666263,28.5,0.72,0,11.9c,0,2.11,2981,14
15SAT32,29/10/2011,11:43:01 PM,29/10/2011,3:43:01 PM,1.272822,566.668782,28.5,0.72,0,1.5cd,0,2.96,788,15
16SAT32,30/10/2011,3:40:34 AM,29/10/2011,7:40:34 PM,1.277372,566.665969,27,0.82,0,7.1cd,2,2.09,422,16
17SAT32,30/10/2011,7:41:05 AM,29/10/2011,11:41:05 PM,1.281323,566.663924,27,1,0,3.2cd,0,1.85,495,17
18SAT32,30/10/2011,7:41:05 AM,29/10/2011,11:41:05 PM,1.281323,566.663924,27,1.02,0,3.2cd,3,1.85,0,18
19SAT32,30/10/2011,11:40:58 AM,30/10/2011,3:40:58 AM,1.282679,566.659586,31.5,0.65,0,17.6c,1,1.74,608,19
20SAT32,30/10/2011,7:40:34 PM,30/10/2011,11:40:34 AM,1.290855,566.672538,28,0.52,0,9.0cd,5,1.79,1492,20
